venue_id,venue_name,city,country,research_priority,candidate_source,item_name,item_priority,kind,confidence,catalog_id,why_for_visitor,notes
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Giraffe + skyline view,1,animal,verified,reticulated-giraffe,Photo moment,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Koala,1,animal,verified,,Aussie icon tourists expect,No catalog_id — priority add
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Sumatran tiger (Tiger Trek),1,animal,verified,sumatran-tiger,Signature immersive exhibit,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,African lion,2,animal,verified,african-lion,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Platypus,2,animal,verified,,,Harder to see; high wow if visible
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Red kangaroo / Aussie trail,2,animal,verified,,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Seal / sea-lion,2,animal,verified,,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Western lowland gorilla,2,animal,verified,western-lowland-gorilla,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Bird show (if scheduled),3,experience,high,,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Chimpanzee,3,animal,verified,chimpanzee,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Red panda,3,animal,verified,red-panda,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Seal show / talks,3,experience,medium,,,
taronga-zoo,Taronga Zoo,Sydney,Australia,1,researched,Sun bear,3,animal,verified,,,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Asian elephant (Kaziranga Trail),1,animal,verified,,Signature trail,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Family Farm,1,zone,verified,,Toddlers,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Giraffe / African Savanna,1,animal,verified,reticulated-giraffe,,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Gorilla Rainforest,1,animal,verified,western-lowland-gorilla,,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Sea lion / penguin areas,2,animal,high,african-penguin,,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Tiger / big cats,2,animal,medium,sumatran-tiger,,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Zebra / rhino (savanna),2,animal,high,zebra,,
dublin-zoo,Dublin Zoo,Dublin,Ireland,1,researched,Meerkat,3,animal,medium,,,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Gorilla,1,animal,high,western-lowland-gorilla,,
